sample_id	transcriptome	cellranger_versiom	Estimated_Number_of_Cells	Mean_Reads_per_Cell	Median_Genes_per_Cell	Number_of_Reads	Valid_Barcodes	Sequencing_Saturation	Q30_Bases_in_Barcode	Q30_Bases_in_RNA_Read	Q30_Bases_in_Sample_Index	Q30_Bases_in_UMI	Reads_Mapped_to_Genome	Reads_Mapped_Confidently_to_Genome	Reads_Mapped_Confidently_to_Intergenic_Regions	Reads_Mapped_Confidently_to_Intronic_Regions	Reads_Mapped_Confidently_to_Exonic_Regions	Reads_Mapped_Confidently_to_Transcriptome	Reads_Mapped_Antisense_to_Gene	Fraction_Reads_in_Cells	Total_Genes_Detected	Median_UMI_Counts_per_Cell
4672STDY7631192	mm10-1_2_0	3.0.2	3227	102442	1088	330581068	98.20	91.10	97.30	73.80	92.50	97.40	87.90	81.70	3.30	6.20	72.30	70.00	0.90	82.50	15721	3202
4672STDY7631192	mm10-3_0_0	3.0.2	3202	103242	1102	330581068	98.20	91.20	97.30	73.80	92.50	97.40	87.90	82.20	3.10	6.10	73.00	70.60	0.90	82.40	16296	3222
4672STDY7631193	mm10-1_2_0	3.0.2	4540	77554	696	352098869	98.20	92.30	97.80	78.10	94.30	98.00	90.00	82.30	3.60	6.70	72.00	69.50	1.10	82.00	15905	1735
4672STDY7631193	mm10-3_0_0	3.0.2	4558	77248	699	352098869	98.20	92.40	97.80	78.10	94.30	98.00	90.00	82.70	3.40	6.60	72.70	70.20	1.10	82.10	16503	1736
4672STDY7623907	mm10-1_2_0	3.0.2	4581	79090	655	362313286	98.70	86.10	97.90	73.50	94.50	98.00	89.90	83.50	4.10	7.20	72.20	70.10	0.70	85.10	16698	2029
4672STDY7623907	mm10-3_0_0	3.0.2	4592	78900	660	362313286	98.70	86.20	97.90	73.50	94.50	98.00	89.90	84.00	3.90	7.10	73.00	70.70	0.80	85.10	17382	2033
4672STDY7623908	mm10-1_2_0	3.0.2	3859	195148	759	753078127	98.60	92.80	98.20	83.40	95.50	98.30	93.40	86.90	4.30	7.30	75.40	73.20	0.70	85.90	16950	2429
4672STDY7623908	mm10-3_0_0	3.0.2	3857	195249	769	753078127	98.60	92.80	98.20	83.40	95.50	98.30	93.40	87.40	4.10	7.10	76.20	73.90	0.70	85.90	17677	2444
4672STDY7623909	mm10-1_2_0	3.0.2	3216	120667	888	388066314	98.80	93.30	98.40	85.10	96.50	98.50	94.80	85.40	5.40	3.90	76.10	74.40	0.50	82.00	14707	3013
4672STDY7623909	mm10-3_0_0	3.0.2	3204	121119	900	388066314	98.80	93.40	98.40	85.10	96.50	98.50	94.80	85.60	5.20	3.80	76.60	74.80	0.50	81.80	15132	3031
